Experience ID,6337502490

Breakdown,Date,Playtime
Total,2024-07-29T00:00:00.000Z,0.6983333230018616
Total,2024-07-30T00:00:00.000Z,3.759999990463257
Total,2024-07-31T00:00:00.000Z,19.86027717590332
Total,2024-08-01T00:00:00.000Z,7.5502777099609375
Total,2024-08-02T00:00:00.000Z,14.561666488647461
Total,2024-08-03T00:00:00.000Z,57.447776794433594
Total,2024-08-04T00:00:00.000Z,58.88333511352539
Total,2024-08-05T00:00:00.000Z,43.11666488647461
Total,2024-08-06T00:00:00.000Z,111.6177749633789
Total,2024-08-07T00:00:00.000Z,104.2477798461914
Total,2024-08-08T00:00:00.000Z,101.82305908203125
Total,2024-08-09T00:00:00.000Z,115.99305725097656
Total,2024-08-10T00:00:00.000Z,159.9491729736328
Total,2024-08-11T00:00:00.000Z,170.58917236328125
Total,2024-08-12T00:00:00.000Z,141.8975067138672
Total,2024-08-13T00:00:00.000Z,144.85499572753906
Total,2024-08-14T00:00:00.000Z,175.12445068359375
Total,2024-08-15T00:00:00.000Z,272.4030456542969
Total,2024-08-16T00:00:00.000Z,490.3135986328125
Total,2024-08-17T00:00:00.000Z,2397.038330078125
Total,2024-08-18T00:00:00.000Z,7191.4560546875
Total,2024-08-19T00:00:00.000Z,7909.49365234375
Total,2024-08-20T00:00:00.000Z,11297.7333984375
Total,2024-08-21T00:00:00.000Z,15286.404296875
Total,2024-08-22T00:00:00.000Z,15510.81640625
Total,2024-08-23T00:00:00.000Z,17477.982421875
Total,2024-08-24T00:00:00.000Z,20016.505859375
Total,2024-08-25T00:00:00.000Z,17551.009765625
Total,2024-08-26T00:00:00.000Z,9983.568359375
Total,2024-08-27T00:00:00.000Z,10269.2978515625
Total,2024-08-28T00:00:00.000Z,11651.5634765625
Total,2024-08-29T00:00:00.000Z,10268.2470703125
Total,2024-08-30T00:00:00.000Z,10562.96484375
Total,2024-08-31T00:00:00.000Z,10596.984375
Total,2024-09-01T00:00:00.000Z,8195.1533203125
Total,2024-09-02T00:00:00.000Z,5649.19482421875
Total,2024-09-03T00:00:00.000Z,3865.626220703125
Total,2024-09-04T00:00:00.000Z,3041.655029296875
Total,2024-09-05T00:00:00.000Z,3104.673828125
Total,2024-09-06T00:00:00.000Z,3489.392578125
Total,2024-09-07T00:00:00.000Z,4623.71337890625
Total,2024-09-08T00:00:00.000Z,4509.31689453125
Total,2024-09-09T00:00:00.000Z,3203.7568359375
Total,2024-09-10T00:00:00.000Z,4098.10791015625
Total,2024-09-11T00:00:00.000Z,3880.536376953125
Total,2024-09-12T00:00:00.000Z,3926.03564453125
Total,2024-09-13T00:00:00.000Z,4446.30810546875
Total,2024-09-14T00:00:00.000Z,6813.89990234375
Total,2024-09-15T00:00:00.000Z,7285.7490234375
Total,2024-09-16T00:00:00.000Z,4699.298828125
Total,2024-09-17T00:00:00.000Z,3595.179443359375
Total,2024-09-18T00:00:00.000Z,3254.729736328125
Total,2024-09-19T00:00:00.000Z,3189.27734375
Total,2024-09-20T00:00:00.000Z,3691.618896484375
Total,2024-09-21T00:00:00.000Z,5577.669921875
"Benchmark (Top 1,000 experience)",2024-07-24T00:00:00.000Z,21029.97667
"Benchmark (Top 1,000 experience)",2024-07-25T00:00:00.000Z,20806.34972
"Benchmark (Top 1,000 experience)",2024-07-26T00:00:00.000Z,21183.99028
"Benchmark (Top 1,000 experience)",2024-07-27T00:00:00.000Z,22009.43306
"Benchmark (Top 1,000 experience)",2024-07-28T00:00:00.000Z,22047.67667
"Benchmark (Top 1,000 experience)",2024-07-29T00:00:00.000Z,20343.65583
"Benchmark (Top 1,000 experience)",2024-07-30T00:00:00.000Z,18302.46556
"Benchmark (Top 1,000 experience)",2024-07-31T00:00:00.000Z,21872.23694
"Benchmark (Top 1,000 experience)",2024-08-01T00:00:00.000Z,19864.895
"Benchmark (Top 1,000 experience)",2024-08-02T00:00:00.000Z,20186.84639
"Benchmark (Top 1,000 experience)",2024-08-03T00:00:00.000Z,21989.96056
"Benchmark (Top 1,000 experience)",2024-08-04T00:00:00.000Z,22402.93639
"Benchmark (Top 1,000 experience)",2024-08-05T00:00:00.000Z,19499.89111
"Benchmark (Top 1,000 experience)",2024-08-06T00:00:00.000Z,19797.69
"Benchmark (Top 1,000 experience)",2024-08-07T00:00:00.000Z,19370.60222
"Benchmark (Top 1,000 experience)",2024-08-08T00:00:00.000Z,19192.11889
"Benchmark (Top 1,000 experience)",2024-08-09T00:00:00.000Z,19978.4225
"Benchmark (Top 1,000 experience)",2024-08-10T00:00:00.000Z,22042.70333
"Benchmark (Top 1,000 experience)",2024-08-11T00:00:00.000Z,21722.69528
"Benchmark (Top 1,000 experience)",2024-08-12T00:00:00.000Z,18506.47389
"Benchmark (Top 1,000 experience)",2024-08-13T00:00:00.000Z,18392.0175
"Benchmark (Top 1,000 experience)",2024-08-14T00:00:00.000Z,18247.49944
"Benchmark (Top 1,000 experience)",2024-08-15T00:00:00.000Z,18055.32389
"Benchmark (Top 1,000 experience)",2024-08-16T00:00:00.000Z,18523.80889
"Benchmark (Top 1,000 experience)",2024-08-17T00:00:00.000Z,21687.1925
"Benchmark (Top 1,000 experience)",2024-08-18T00:00:00.000Z,21743.02722
"Benchmark (Top 1,000 experience)",2024-08-19T00:00:00.000Z,17862.04
"Benchmark (Top 1,000 experience)",2024-08-20T00:00:00.000Z,17024.98667
"Benchmark (Top 1,000 experience)",2024-08-21T00:00:00.000Z,16583.98833
"Benchmark (Top 1,000 experience)",2024-08-22T00:00:00.000Z,16849.45917
"Benchmark (Top 1,000 experience)",2024-08-23T00:00:00.000Z,18004.57139
"Benchmark (Top 1,000 experience)",2024-08-24T00:00:00.000Z,21548.35639
"Benchmark (Top 1,000 experience)",2024-08-25T00:00:00.000Z,22036.46639
"Benchmark (Top 1,000 experience)",2024-08-26T00:00:00.000Z,16998.99306
"Benchmark (Top 1,000 experience)",2024-08-27T00:00:00.000Z,15665.83972
"Benchmark (Top 1,000 experience)",2024-08-28T00:00:00.000Z,15663.65694
"Benchmark (Top 1,000 experience)",2024-08-29T00:00:00.000Z,15513.29583
"Benchmark (Top 1,000 experience)",2024-08-30T00:00:00.000Z,16814.82056
"Benchmark (Top 1,000 experience)",2024-08-31T00:00:00.000Z,20839.62111
"Benchmark (Top 1,000 experience)",2024-09-01T00:00:00.000Z,20607.87611
"Benchmark (Top 1,000 experience)",2024-09-02T00:00:00.000Z,17394.21
"Benchmark (Top 1,000 experience)",2024-09-03T00:00:00.000Z,13763.91139
"Benchmark (Top 1,000 experience)",2024-09-04T00:00:00.000Z,12830.13167
"Benchmark (Top 1,000 experience)",2024-09-05T00:00:00.000Z,12657.25389
"Benchmark (Top 1,000 experience)",2024-09-06T00:00:00.000Z,14162.81306
"Benchmark (Top 1,000 experience)",2024-09-07T00:00:00.000Z,20486.97583
"Benchmark (Top 1,000 experience)",2024-09-08T00:00:00.000Z,20712.80417
"Benchmark (Top 1,000 experience)",2024-09-09T00:00:00.000Z,12490.07917
"Benchmark (Top 1,000 experience)",2024-09-10T00:00:00.000Z,11910.185
"Benchmark (Top 1,000 experience)",2024-09-11T00:00:00.000Z,12196.16556
"Benchmark (Top 1,000 experience)",2024-09-12T00:00:00.000Z,12050.69139
"Benchmark (Top 1,000 experience)",2024-09-13T00:00:00.000Z,13978.29944
"Benchmark (Top 1,000 experience)",2024-09-14T00:00:00.000Z,20780.53972
"Benchmark (Top 1,000 experience)",2024-09-15T00:00:00.000Z,21259.78278
"Benchmark (Top 1,000 experience)",2024-09-16T00:00:00.000Z,13852.29444
"Benchmark (Top 1,000 experience)",2024-09-17T00:00:00.000Z,12787.17694
"Benchmark (Top 1,000 experience)",2024-09-18T00:00:00.000Z,12638.51528
"Benchmark (Top 1,000 experience)",2024-09-19T00:00:00.000Z,12255.01167
"Benchmark (Top 1,000 experience)",2024-09-20T00:00:00.000Z,14061.45417
"Benchmark (Top 1,000 experience)",2024-09-21T00:00:00.000Z,20380.1475